id,place,magnitude,time,latitude,longitude,depth
ak0243l38qbm,"52 km W of Happy Valley, Alaska",1.8,2024-03-18 05:58:29.146,60.0197,-152.6669,99.7
ci40688704,"15 km SW of Lone Pine, CA",1.42,2024-03-18 05:29:04.380,36.499,-118.2011667,9.95
tx2024flcg,"31 km NNW of Toyah, Texas",1.6,2024-03-18 05:18:42.355,31.574,-103.94,7.4841
nc74019171,"1 km N of The Geysers, CA",0.76,2024-03-18 04:48:14.530,38.7886658,-122.75383,0.22
nn00874975,"57 km SW of Rachel, Nevada",-0.2,2024-03-18 04:32:49.466,37.2506,-116.1635,5.8
hv74140232,"11 km ENE of Pāhala, Hawaii",1.74,2024-03-18 04:28:52.760,19.2611666666667,-155.383333333333,30.57
ak0243l2ge6d,"18 km WSW of Hope, Alaska",1.8,2024-03-18 04:26:08.053,60.8457,-149.9388,33.0
nc74019166,"3 km W of Cobb, CA",0.27,2024-03-18 04:25:06.700,38.8246651,-122.7613297,1.84
nn00874974,"58 km SW of Rachel, Nevada",-0.3,2024-03-18 04:24:41.688,37.2441,-116.1742,6.1
nn00874973,"57 km SW of Rachel, Nevada",-0.1,2024-03-18 04:22:36.506,37.2517,-116.1642,5.3
nn00874972,"57 km SW of Rachel, Nevada",0.3,2024-03-18 04:21:31.633,37.2564,-116.1668,6.1
ci40688688,"12 km ESE of Ocotillo, CA",0.66,2024-03-18 04:15:40.540,32.6808333,-115.8796667,5.51
us6000mjj2,"134 km ENE of Maumere, Indonesia",4.5,2024-03-18 04:13:13.812,-8.046,123.2912,263.485
hv74140222,"12 km ENE of Pāhala, Hawaii",1.93,2024-03-18 04:10:21.530,19.2638333333333,-155.376666666667,30.93
nc74019161,"0 km W of The Geysers, CA",0.79,2024-03-18 04:09:31.270,38.777832,-122.7608337,4.43
ak0243l20jc3,"26 km NNW of Willow, Alaska",1.6,2024-03-18 03:52:09.958,61.9494,-150.2888,2.9
